date_key,full_date,year,quarter,quarter_name,month_number,month_name,month_short,year_month,iso_week,day_of_month,day_of_week,day_name,day_short,is_weekend,day_of_year
20150701,2015-07-01,2015,3,Q3 2015,7,July,Jul,2015-07,27,1,3,Wednesday,Wed,False,182
20150702,2015-07-02,2015,3,Q3 2015,7,July,Jul,2015-07,27,2,4,Thursday,Thu,False,183
20150703,2015-07-03,2015,3,Q3 2015,7,July,Jul,2015-07,27,3,5,Friday,Fri,False,184
20150704,2015-07-04,2015,3,Q3 2015,7,July,Jul,2015-07,27,4,6,Saturday,Sat,True,185
20150705,2015-07-05,2015,3,Q3 2015,7,July,Jul,2015-07,27,5,7,Sunday,Sun,True,186
20150706,2015-07-06,2015,3,Q3 2015,7,July,Jul,2015-07,28,6,1,Monday,Mon,False,187
20150707,2015-07-07,2015,3,Q3 2015,7,July,Jul,2015-07,28,7,2,Tuesday,Tue,False,188
20150708,2015-07-08,2015,3,Q3 2015,7,July,Jul,2015-07,28,8,3,Wednesday,Wed,False,189
20150709,2015-07-09,2015,3,Q3 2015,7,July,Jul,2015-07,28,9,4,Thursday,Thu,False,190
20150710,2015-07-10,2015,3,Q3 2015,7,July,Jul,2015-07,28,10,5,Friday,Fri,False,191
20150711,2015-07-11,2015,3,Q3 2015,7,July,Jul,2015-07,28,11,6,Saturday,Sat,True,192
20150712,2015-07-12,2015,3,Q3 2015,7,July,Jul,2015-07,28,12,7,Sunday,Sun,True,193
20150713,2015-07-13,2015,3,Q3 2015,7,July,Jul,2015-07,29,13,1,Monday,Mon,False,194
20150714,2015-07-14,2015,3,Q3 2015,7,July,Jul,2015-07,29,14,2,Tuesday,Tue,False,195
20150715,2015-07-15,2015,3,Q3 2015,7,July,Jul,2015-07,29,15,3,Wednesday,Wed,False,196
20150716,2015-07-16,2015,3,Q3 2015,7,July,Jul,2015-07,29,16,4,Thursday,Thu,False,197
20150717,2015-07-17,2015,3,Q3 2015,7,July,Jul,2015-07,29,17,5,Friday,Fri,False,198
20150718,2015-07-18,2015,3,Q3 2015,7,July,Jul,2015-07,29,18,6,Saturday,Sat,True,199
20150719,2015-07-19,2015,3,Q3 2015,7,July,Jul,2015-07,29,19,7,Sunday,Sun,True,200
20150720,2015-07-20,2015,3,Q3 2015,7,July,Jul,2015-07,30,20,1,Monday,Mon,False,201
20150721,2015-07-21,2015,3,Q3 2015,7,July,Jul,2015-07,30,21,2,Tuesday,Tue,False,202
20150722,2015-07-22,2015,3,Q3 2015,7,July,Jul,2015-07,30,22,3,Wednesday,Wed,False,203
20150723,2015-07-23,2015,3,Q3 2015,7,July,Jul,2015-07,30,23,4,Thursday,Thu,False,204
20150724,2015-07-24,2015,3,Q3 2015,7,July,Jul,2015-07,30,24,5,Friday,Fri,False,205
20150725,2015-07-25,2015,3,Q3 2015,7,July,Jul,2015-07,30,25,6,Saturday,Sat,True,206
20150726,2015-07-26,2015,3,Q3 2015,7,July,Jul,2015-07,30,26,7,Sunday,Sun,True,207
20150727,2015-07-27,2015,3,Q3 2015,7,July,Jul,2015-07,31,27,1,Monday,Mon,False,208
20150728,2015-07-28,2015,3,Q3 2015,7,July,Jul,2015-07,31,28,2,Tuesday,Tue,False,209
20150729,2015-07-29,2015,3,Q3 2015,7,July,Jul,2015-07,31,29,3,Wednesday,Wed,False,210
20150730,2015-07-30,2015,3,Q3 2015,7,July,Jul,2015-07,31,30,4,Thursday,Thu,False,211
20150731,2015-07-31,2015,3,Q3 2015,7,July,Jul,2015-07,31,31,5,Friday,Fri,False,212
20150801,2015-08-01,2015,3,Q3 2015,8,August,Aug,2015-08,31,1,6,Saturday,Sat,True,213
20150802,2015-08-02,2015,3,Q3 2015,8,August,Aug,2015-08,31,2,7,Sunday,Sun,True,214
20150803,2015-08-03,2015,3,Q3 2015,8,August,Aug,2015-08,32,3,1,Monday,Mon,False,215
20150804,2015-08-04,2015,3,Q3 2015,8,August,Aug,2015-08,32,4,2,Tuesday,Tue,False,216
20150805,2015-08-05,2015,3,Q3 2015,8,August,Aug,2015-08,32,5,3,Wednesday,Wed,False,217
20150806,2015-08-06,2015,3,Q3 2015,8,August,Aug,2015-08,32,6,4,Thursday,Thu,False,218
20150807,2015-08-07,2015,3,Q3 2015,8,August,Aug,2015-08,32,7,5,Friday,Fri,False,219
20150808,2015-08-08,2015,3,Q3 2015,8,August,Aug,2015-08,32,8,6,Saturday,Sat,True,220
20150809,2015-08-09,2015,3,Q3 2015,8,August,Aug,2015-08,32,9,7,Sunday,Sun,True,221
20150810,2015-08-10,2015,3,Q3 2015,8,August,Aug,2015-08,33,10,1,Monday,Mon,False,222
20150811,2015-08-11,2015,3,Q3 2015,8,August,Aug,2015-08,33,11,2,Tuesday,Tue,False,223
20150812,2015-08-12,2015,3,Q3 2015,8,August,Aug,2015-08,33,12,3,Wednesday,Wed,False,224
20150813,2015-08-13,2015,3,Q3 2015,8,August,Aug,2015-08,33,13,4,Thursday,Thu,False,225
20150814,2015-08-14,2015,3,Q3 2015,8,August,Aug,2015-08,33,14,5,Friday,Fri,False,226
20150815,2015-08-15,2015,3,Q3 2015,8,August,Aug,2015-08,33,15,6,Saturday,Sat,True,227
20150816,2015-08-16,2015,3,Q3 2015,8,August,Aug,2015-08,33,16,7,Sunday,Sun,True,228
20150817,2015-08-17,2015,3,Q3 2015,8,August,Aug,2015-08,34,17,1,Monday,Mon,False,229
